instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
3_1_2,3,P18,46,false,3,50,4
3_1_2,3,P17,56,false,6,70,14
3_1_2,3,P19,51,false,3,70,19
3_1_3,4,P21,43,false,5,40,0
3_1_3,4,P20,56,false,6,70,14
3_1_3,4,P23,53,false,5,60,7
3_1_3,4,P22,47,false,3,51,4
3_1_3,4,P25,44,true,6,40,0
3_1_3,4,P24,57,false,4,70,13
3_1_3,4,P27,53,false,5,55,2
3_1_3,4,P26,48,true,6,55,7
3_1_3,4,P29,46,false,4,46,0
3_1_3,4,P28,55,true,4,70,15
3_1_3,4,P30,50,false,5,55,5
3_1_3,4,P32,56,false,4,70,14
3_1_3,4,P31,54,true,6,70,16
3_1_3,4,P34,46,false,4,50,4
3_1_3,4,P33,43,true,5,40,0
3_1_3,4,P36,56,true,5,70,14
3_1_3,4,P35,50,true,5,55,5
3_1_3,4,P38,49,true,6,55,6
3_1_3,4,P37,45,false,4,40,0
3_1_3,4,P39,52,false,4,55,3
3_1_3,4,P41,43,false,5,45,2
3_1_3,4,P40,57,false,6,70,13
3_1_3,4,P43,51,false,4,61,10
3_1_3,4,P42,47,false,3,50,3
3_1_3,4,P45,44,false,4,40,0
3_1_3,4,P44,55,false,6,70,15
3_1_3,4,P47,53,false,5,60,7
3_1_3,4,P46,48,true,5,55,7
3_1_3,4,P49,46,true,4,45,0
3_1_3,4,P48,56,true,5,70,14
3_1_3,4,P1,42,false,5,40,0
3_1_3,4,P2,46,true,6,45,0
3_1_3,4,P3,47,true,6,55,8
3_1_3,4,P4,44,false,5,45,1
3_1_3,4,P5,50,false,6,55,5
3_1_3,4,P6,53,true,6,60,7
3_1_3,4,P7,43,true,6,40,0
3_1_3,4,P8,48,false,3,50,2
3_1_3,4,P9,52,false,5,55,3
3_1_3,4,P50,57,true,6,70,13
3_1_3,4,P10,55,false,6,70,15
3_1_3,4,P12,50,true,5,60,10
3_1_3,4,P11,46,true,4,45,0
3_1_3,4,P14,45,true,4,45,0
3_1_3,4,P13,54,true,5,70,16
3_1_3,4,P16,53,true,5,65,12
3_1_3,4,P15,49,false,4,50,1
3_1_3,4,P18,46,true,4,45,0
3_1_3,4,P17,56,false,6,70,14
3_1_3,4,P19,51,false,5,60,9
4_1_1,5,P21,43,false,5,45,2
4_1_1,5,P20,56,true,6,70,14
4_1_1,5,P23,53,false,5,55,2
4_1_1,5,P22,47,false,6,45,0
4_1_1,5,P25,44,false,4,50,6
4_1_1,5,P24,57,false,6,70,13
4_1_1,5,P27,53,false,5,60,7
4_1_1,5,P26,48,false,3,70,22
4_1_1,5,P29,46,true,4,46,0
4_1_1,5,P28,55,false,5,70,15
4_1_1,5,P30,50,false,4,55,5
4_1_1,5,P32,56,false,5,70,14
4_1_1,5,P31,54,true,5,70,16
4_1_1,5,P34,46,false,3,50,4
4_1_1,5,P33,43,true,4,40,0
4_1_1,5,P36,56,false,5,70,14
4_1_1,5,P35,50,true,3,66,16
4_1_1,5,P38,49,false,4,55,6
4_1_1,5,P37,45,false,3,50,5
4_1_1,5,P39,52,false,5,55,3
4_1_1,5,P41,43,false,3,50,7
4_1_1,5,P40,57,false,5,70,13
4_1_1,5,P43,51,false,5,55,4
4_1_1,5,P42,47,false,5,45,0
4_1_1,5,P45,44,true,3,50,6
4_1_1,5,P44,55,false,5,70,15
4_1_1,5,P47,53,false,6,60,7
4_1_1,5,P46,48,false,5,55,7
4_1_1,5,P49,46,false,4,45,0
4_1_1,5,P48,56,false,5,70,14
4_1_1,5,P1,42,false,4,40,0
4_1_1,5,P2,46,false,4,50,4
4_1_1,5,P3,47,false,5,45,0
4_1_1,5,P4,44,false,5,45,1
4_1_1,5,P5,50,false,6,55,5
4_1_1,5,P6,53,true,5,60,7
4_1_1,5,P7,43,false,5,45,2
4_1_1,5,P8,48,false,5,55,7
4_1_1,5,P9,52,false,4,55,3
4_1_1,5,P50,57,false,5,75,18
4_1_1,5,P10,55,false,5,70,15
4_1_1,5,P12,50,false,6,55,5
4_1_1,5,P11,46,false,4,50,4
4_1_1,5,P14,45,true,4,40,0
4_1_1,5,P13,54,false,5,75,21
4_1_1,5,P16,53,false,5,60,7
4_1_1,5,P15,49,true,6,55,6
4_1_1,5,P18,46,false,4,45,0
4_1_1,5,P17,56,false,6,70,14
4_1_1,5,P19,51,true,3,70,19
4_1_2,3,P21,43,false,5,45,2
4_1_2,3,P20,56,true,6,70,14
4_1_2,3,P23,53,true,5,60,7
4_1_2,3,P22,47,true,6,45,0
4_1_2,3,P25,44,true,3,55,11
4_1_2,3,P24,57,false,6,70,13
4_1_2,3,P27,53,true,5,60,7
4_1_2,3,P26,48,false,5,60,12
4_1_2,3,P29,46,false,3,50,4
4_1_2,3,P28,55,false,5,70,15
4_1_2,3,P30,50,false,4,55,5
4_1_2,3,P32,56,false,5,70,14
4_1_2,3,P31,54,true,5,70,16
4_1_2,3,P34,46,false,4,40,0
4_1_2,3,P33,43,false,4,40,0
4_1_2,3,P36,56,false,5,70,14
4_1_2,3,P35,50,false,5,55,5
4_1_2,3,P38,49,false,4,55,6
4_1_2,3,P37,45,false,4,40,0
4_1_2,3,P39,52,false,3,70,18
4_1_2,3,P41,43,false,3,50,7
4_1_2,3,P40,57,false,5,70,13
4_1_2,3,P43,51,true,3,65,14
4_1_2,3,P42,47,false,5,45,0
4_1_2,3,P45,44,false,3,50,6
4_1_2,3,P44,55,true,5,70,15
4_1_2,3,P47,53,false,6,60,7
4_1_2,3,P46,48,false,3,65,17
4_1_2,3,P49,46,false,4,45,0
4_1_2,3,P48,56,true,5,70,14
4_1_2,3,P1,42,true,4,40,0
4_1_2,3,P2,46,true,4,50,4
4_1_2,3,P3,47,false,5,45,0
4_1_2,3,P4,44,false,5,45,1
4_1_2,3,P5,50,false,6,55,5
4_1_2,3,P6,53,true,5,61,8
4_1_2,3,P7,43,false,5,45,2
4_1_2,3,P8,48,true,5,55,7
4_1_2,3,P9,52,false,4,55,3
4_1_2,3,P50,57,false,5,75,18
4_1_2,3,P10,55,false,5,70,15
4_1_2,3,P12,50,false,5,60,10
4_1_2,3,P11,46,false,4,50,4
4_1_2,3,P14,45,true,4,40,0
4_1_2,3,P13,54,false,5,75,21
4_1_2,3,P16,53,false,5,60,7
4_1_2,3,P15,49,false,6,55,6
4_1_2,3,P18,46,false,4,45,0
4_1_2,3,P17,56,false,6,70,14
4_1_2,3,P19,51,false,5,55,4
4_1_3,3,P21,43,false,5,45,2
4_1_3,3,P20,56,false,6,70,14
4_1_3,3,P23,53,false,5,56,3
4_1_3,3,P22,47,false,5,50,3
4_1_3,3,P25,44,true,5,45,1
4_1_3,3,P24,57,false,6,70,13
4_1_3,3,P27,53,false,5,60,7
4_1_3,3,P26,48,true,5,60,12
4_1_3,3,P29,46,false,4,46,0
4_1_3,3,P28,55,true,5,70,15
4_1_3,3,P30,50,false,4,55,5
4_1_3,3,P32,56,false,5,70,14
4_1_3,3,P31,54,true,5,70,16
4_1_3,3,P34,46,false,4,40,0
4_1_3,3,P33,43,true,4,40,0
4_1_3,3,P36,56,true,5,70,14
4_1_3,3,P35,50,true,3,66,16
4_1_3,3,P38,49,true,4,55,6
4_1_3,3,P37,45,false,3,50,5
4_1_3,3,P39,52,false,5,55,3
4_1_3,3,P41,43,false,3,50,7
4_1_3,3,P40,57,false,5,70,13
4_1_3,3,P43,51,false,5,55,4
4_1_3,3,P42,47,false,5,45,0
4_1_3,3,P45,44,false,3,50,6
4_1_3,3,P44,55,false,5,70,15
4_1_3,3,P47,53,false,6,60,7
4_1_3,3,P46,48,true,3,65,17
4_1_3,3,P49,46,true,4,45,0
4_1_3,3,P48,56,true,5,70,14
4_1_3,3,P1,42,false,4,40,0
4_1_3,3,P2,46,true,5,45,0
